Block	Spot-rowy	Spot-colx	Chr	Position
1	1	1	8	35229786.5
1	1	2	8	34764200
1	1	3	NA	NA
1	1	4	NA	NA
1	1	5	NA	NA
1	1	6	NA	NA
1	1	7	NA	NA
1	1	8	NA	NA
1	1	9	NA	NA
1	1	10	NA	NA
1	2	1	1	183781959
1	2	2	9	94081850.5
1	2	3	10	48315472.5
1	2	4	22	40606251
1	2	5	6	96289170.5
1	2	6	9	64783963
1	2	7	13	49053483
1	2	8	23	132612778.5
1	2	9	19	55631385.5
1	2	10	8	31421865
1	3	1	11	65151517.5
1	3	2	18	65548150.5
1	3	3	3	154820242.5
1	3	4	2	12889812.5
1	3	5	8	14100446
1	3	6	2	213509858.5
1	3	7	7	103783829
1	3	8	5	112595153
1	3	9	21	23571582.5
1	3	10	8	2520610
1	4	1	NA	NA
1	4	2	NA	NA
1	4	3	NA	NA
1	4	4	NA	NA
1	4	5	15	31680790
1	4	6	8	135273876
1	4	7	3	880152
1	4	8	11	115437508.5
1	4	9	8	105701241
1	4	10	12	51442398
1	5	1	10	48315472.5
1	5	2	22	40606251
1	5	3	6	96289170.5
1	5	4	9	64783963
1	5	5	13	49053483
1	5	6	23	132612778.5
1	5	7	19	55631385.5
1	5	8	8	31421865
1	5	9	8	35229786.5
1	5	10	8	34764200
1	6	1	3	154820242.5
1	6	2	2	12889812.5
1	6	3	8	14100446
1	6	4	2	213509858.5
1	6	5	7	103783829
1	6	6	5	112595153
1	6	7	21	23571582.5
1	6	8	8	2520610
1	6	9	1	183781959
1	6	10	9	94081850.5
1	7	1	NA	NA
1	7	2	NA	NA
1	7	3	15	31680790
1	7	4	8	135273876
1	7	5	3	880152
1	7	6	11	115437508.5
1	7	7	8	105701241
1	7	8	12	51442398
1	7	9	11	65151517.5
1	7	10	18	65548150.5
1	8	1	6	96289170.5
1	8	2	9	64783963
1	8	3	13	49053483
1	8	4	23	132612778.5
1	8	5	19	55631385.5
1	8	6	8	31421865
1	8	7	8	35229786.5
1	8	8	8	34764200
1	8	9	NA	NA
1	8	10	NA	NA
1	9	1	8	14100446
1	9	2	2	213509858.5
1	9	3	7	103783829
1	9	4	5	112595153
1	9	5	21	23571582.5
1	9	6	8	2520610
1	9	7	1	183781959
1	9	8	9	94081850.5
1	9	9	10	48315472.5
1	9	10	22	40606251
1	10	1	15	31680790
1	10	2	8	135273876
1	10	3	3	880152
1	10	4	11	115437508.5
1	10	5	8	105701241
1	10	6	12	51442398
1	10	7	11	65151517.5
1	10	8	18	65548150.5
1	10	9	3	154820242.5
1	10	10	2	12889812.5
1	11	1	NA	NA
1	11	2	NA	NA
1	11	3	NA	NA
1	11	4	NA	NA
1	11	5	NA	NA
1	11	6	NA	NA
1	11	7	NA	NA
1	11	8	NA	NA
1	11	9	NA	NA
1	11	10	NA	NA
2	1	1	8	35366010
2	1	2	0	NA
2	1	3	NA	NA
2	1	4	NA	NA
2	1	5	NA	NA
2	1	6	NA	NA
2	1	7	NA	NA
2	1	8	NA	NA
2	1	9	NA	NA
2	1	10	NA	NA
2	2	1	1	189616637.5
2	2	2	9	29603050.5
2	2	3	10	86497092
2	2	4	22	31755470
2	2	5	6	167751682.5
2	2	6	9	74393678.5
2	2	7	21	13539258.5
2	2	8	23	44196458
2	2	9	19	9741931.5
2	2	10	8	31515425.5
2	3	1	8	50503168.5
2	3	2	3	41101612
2	3	3	14	67413369
2	3	4	4	13642031.5
2	3	5	12	114038635
2	3	6	5	101089459.5
2	3	7	23	2072911
2	3	8	8	42201568.5
2	3	9	21	46521151.5
2	3	10	7	87867495.5
2	4	1	NA	NA
2	4	2	NA	NA
2	4	3	NA	NA
2	4	4	NA	NA
2	4	5	8	97458368
2	4	6	4	190941674.5
2	4	7	12	122171556.5
2	4	8	8	48322419.5
2	4	9	8	76874725
2	4	10	16	9790939.5
2	5	1	10	86497092
2	5	2	22	31755470
2	5	3	6	167751682.5
2	5	4	9	74393678.5
2	5	5	21	13539258.5
2	5	6	23	44196458
2	5	7	19	9741931.5
2	5	8	8	31515425.5
2	5	9	8	35366010
2	5	10	0	NA
2	6	1	14	67413369
2	6	2	4	13642031.5
2	6	3	12	114038635
2	6	4	5	101089459.5
2	6	5	23	2072911
2	6	6	8	42201568.5
2	6	7	21	46521151.5
2	6	8	7	87867495.5
2	6	9	1	189616637.5
2	6	10	9	29603050.5
2	7	1	NA	NA
2	7	2	NA	NA
2	7	3	8	97458368
2	7	4	4	190941674.5
2	7	5	12	122171556.5
2	7	6	8	48322419.5
2	7	7	8	76874725
2	7	8	16	9790939.5
2	7	9	8	50503168.5
2	7	10	3	41101612
2	8	1	6	167751682.5
2	8	2	9	74393678.5
2	8	3	21	13539258.5
2	8	4	23	44196458
2	8	5	19	9741931.5
2	8	6	8	31515425.5
2	8	7	8	35366010
2	8	8	0	NA
2	8	9	NA	NA
2	8	10	NA	NA
2	9	1	12	114038635
2	9	2	5	101089459.5
2	9	3	23	2072911
2	9	4	8	42201568.5
2	9	5	21	46521151.5
2	9	6	7	87867495.5
2	9	7	1	189616637.5
2	9	8	9	29603050.5
2	9	9	10	86497092
2	9	10	22	31755470
2	10	1	8	97458368
2	10	2	4	190941674.5
2	10	3	12	122171556.5
2	10	4	8	48322419.5
2	10	5	8	76874725
2	10	6	16	9790939.5
2	10	7	8	50503168.5
2	10	8	3	41101612
2	10	9	14	67413369
2	10	10	4	13642031.5
2	11	1	NA	NA
2	11	2	NA	NA
2	11	3	NA	NA
2	11	4	NA	NA
2	11	5	NA	NA
2	11	6	NA	NA
2	11	7	NA	NA
2	11	8	NA	NA
2	11	9	NA	NA
2	11	10	NA	NA
3	1	1	8	36770154.5
3	1	2	30	NA
3	1	3	NA	NA
3	1	4	NA	NA
3	1	5	NA	NA
3	1	6	NA	NA
3	1	7	NA	NA
3	1	8	NA	NA
3	1	9	NA	NA
3	1	10	NA	NA
3	2	1	6	86030546.5
3	2	2	10	128275713
3	2	3	13	71213876
3	2	4	17	37803040
3	2	5	6	56719770.5
